time px py pz qx qy qz qw
193437.042600969 -0.032578 0.028638 0.120846 -0.132177 -0.049542 -0.042519 0.989074
193437.142549941 -0.032269 0.028905 0.120100 -0.130144 -0.048300 -0.042461 0.989407
193437.242499827 -0.032284 0.029295 0.119214 -0.125898 -0.047532 -0.042494 0.989992
193437.342597931 -0.033877 0.030399 0.120539 -0.130984 -0.044726 -0.046597 0.989278
193437.442546969 -0.034750 0.030137 0.121075 -0.132975 -0.042917 -0.049509 0.988951
193437.542495912 -0.034895 0.030473 0.121373 -0.132988 -0.042683 -0.049671 0.988952
193437.642444965 -0.035094 0.030659 0.121354 -0.132391 -0.042381 -0.049819 0.989037
193437.742543941 -0.035153 0.031455 0.121542 -0.132057 -0.042698 -0.048074 0.989155
193437.842492969 -0.034432 0.032967 0.120253 -0.130524 -0.042854 -0.045978 0.989451
193437.942441936 -0.034898 0.033316 0.120530 -0.130250 -0.044948 -0.044684 0.989453
193438.042540969 -0.036239 0.032832 0.121980 -0.129456 -0.047002 -0.043955 0.989495
193438.142489941 -0.035962 0.032534 0.121638 -0.129062 -0.048185 -0.043068 0.989528
193438.242438936 -0.035248 0.032972 0.121599 -0.135789 -0.048061 -0.043080 0.988633
193438.342387912 -0.035950 0.033150 0.121891 -0.135791 -0.047433 -0.043520 0.988644
193438.442486969 -0.036183 0.033342 0.122234 -0.133125 -0.046072 -0.043639 0.989066
193438.542435912 -0.035783 0.033764 0.123165 -0.133757 -0.044107 -0.046304 0.988949
193438.642384974 -0.033971 0.033119 0.122535 -0.136438 -0.041241 -0.049020 0.988575
193438.742484393 -0.033801 0.033679 0.122333 -0.138274 -0.040915 -0.049745 0.988297
193438.842432941 -0.033562 0.035576 0.121942 -0.136269 -0.040142 -0.050208 0.988584
193438.942383483 -0.033435 0.035896 0.121379 -0.137286 -0.040034 -0.050482 0.988434
193439.042330941 -0.033347 0.035780 0.120843 -0.137675 -0.039938 -0.050583 0.988378
193439.142429941 -0.033410 0.036217 0.120879 -0.138392 -0.039924 -0.050610 0.988277
193439.242378969 -0.033335 0.035701 0.120748 -0.138841 -0.039878 -0.050625 0.988216
193439.342327941 -0.033131 0.035845 0.120618 -0.138931 -0.039869 -0.050641 0.988203
193439.442426941 -0.032763 0.036944 0.120678 -0.139443 -0.039772 -0.050700 0.988131
193439.542375940 -0.032808 0.037165 0.120542 -0.139931 -0.039718 -0.050749 0.988062
193439.642324964 -0.032891 0.037061 0.120748 -0.140258 -0.039825 -0.050763 0.988010
193439.742273969 -0.032851 0.037439 0.121165 -0.140829 -0.039824 -0.050849 0.987925
193439.842372969 -0.032924 0.037915 0.121450 -0.140850 -0.039730 -0.050887 0.987924
193439.942321936 -0.032892 0.037757 0.121621 -0.140235 -0.039765 -0.050913 0.988008
193440.042270936 -0.032744 0.037856 0.121617 -0.140592 -0.039765 -0.050946 0.987956
193440.142369940 -0.032809 0.037119 0.121517 -0.140803 -0.039801 -0.050968 0.987923
193440.242318969 -0.032863 0.036837 0.121444 -0.141042 -0.039812 -0.050984 0.987888
