time px py pz qx qy qz qw
24878.212394805 -0.202483 -1.817161 1.813353 -0.630941 -0.079494 -0.039959 0.770712
24878.312493653 -0.204178 -1.783490 1.819347 -0.631401 -0.080072 -0.037666 0.770391
24878.412442624 -0.205993 -1.748324 1.823769 -0.631920 -0.080136 -0.036034 0.770037
24878.512391620 -0.207740 -1.718733 1.828436 -0.631561 -0.078568 -0.039749 0.770310
24878.612490653 -0.209685 -1.686833 1.833939 -0.632190 -0.078259 -0.039371 0.769845
24878.712439653 -0.212075 -1.655494 1.839103 -0.631790 -0.078630 -0.039130 0.770147
24878.812388624 -0.214924 -1.628100 1.844359 -0.633094 -0.078323 -0.039835 0.769071
24878.912487591 -0.217886 -1.595358 1.851143 -0.632791 -0.078185 -0.039808 0.769336
24879.012436619 -0.220791 -1.562994 1.857394 -0.633686 -0.078132 -0.039836 0.768603
24879.112385653 -0.222815 -1.533972 1.859828 -0.633706 -0.077318 -0.039295 0.768697
24879.212334619 -0.226465 -1.506602 1.862667 -0.633347 -0.074143 -0.038767 0.769332
24879.312433624 -0.227270 -1.480313 1.869717 -0.635065 -0.076153 -0.041329 0.767584
24879.412382653 -0.228052 -1.452291 1.871135 -0.634791 -0.078229 -0.039267 0.767710
24879.512331653 -0.230444 -1.425684 1.875883 -0.634646 -0.078830 -0.038669 0.767799
24879.612430619 -0.232768 -1.398917 1.880665 -0.635084 -0.079314 -0.039213 0.767359
24879.712379653 -0.234961 -1.371400 1.884156 -0.635115 -0.080278 -0.038928 0.767248
24879.812328624 -0.236963 -1.343723 1.889425 -0.635001 -0.081220 -0.038578 0.767261
24879.912277619 -0.239055 -1.314917 1.893763 -0.635401 -0.081532 -0.038460 0.766902
24880.012376624 -0.240825 -1.287421 1.897161 -0.634934 -0.081674 -0.038228 0.767285
24880.112325653 -0.243809 -1.256638 1.900218 -0.635616 -0.082595 -0.037366 0.766664
24880.212274619 -0.245590 -1.233180 1.903966 -0.635082 -0.082663 -0.036728 0.767130
24880.312373653 -0.247488 -1.212585 1.907629 -0.635457 -0.081840 -0.037449 0.766873
24880.412322624 -0.249699 -1.183169 1.911906 -0.635094 -0.081521 -0.037666 0.767197
24880.512271653 -0.250822 -1.151126 1.914050 -0.632262 -0.082349 -0.036948 0.769479
24880.612220653 -0.252779 -1.123880 1.915128 -0.626328 -0.081752 -0.036816 0.774386
24880.712319653 -0.255153 -1.092563 1.916041 -0.617655 -0.081877 -0.036311 0.781333
24880.812268653 -0.257893 -1.055364 1.915373 -0.605706 -0.082147 -0.035119 0.790657
24880.912217619 -0.261439 -1.019056 1.919266 -0.599020 -0.081964 -0.034283 0.795790
24881.012316619 -0.264508 -0.984700 1.926721 -0.599331 -0.081623 -0.033885 0.795608
24881.112265619 -0.266954 -0.953640 1.934353 -0.599327 -0.081489 -0.033263 0.795651
24881.212214652 -0.269758 -0.920978 1.942034 -0.599366 -0.081569 -0.033548 0.795601
24881.312163652 -0.273554 -0.882678 1.949871 -0.599645 -0.081829 -0.032793 0.795396
24881.412262652 -0.277078 -0.847645 1.957193 -0.599395 -0.081452 -0.032813 0.795622
24881.512211619 -0.280360 -0.811039 1.966131 -0.599286 -0.081903 -0.033149 0.795644
