time px py pz qx qy qz qw
193612.759786376 -0.056685 -0.144361 0.091623 0.532458 0.026254 0.050652 0.844532
193612.859885376 -0.055927 -0.169632 0.104943 0.532621 0.025685 0.049629 0.844507
193612.959834405 -0.055474 -0.195145 0.118435 0.532640 0.025850 0.048833 0.844536
193613.059783371 -0.056674 -0.212706 0.128355 0.532259 0.026793 0.049449 0.844712
193613.159882405 -0.057173 -0.230699 0.138595 0.533005 0.027313 0.050157 0.844183
193613.259831405 -0.056987 -0.252962 0.149781 0.532904 0.027045 0.049924 0.844269
193613.359780371 -0.056708 -0.273501 0.160285 0.534106 0.027529 0.049781 0.843502
193613.459729395 -0.056258 -0.295017 0.171246 0.534353 0.027616 0.049449 0.843361
193613.559828405 -0.055654 -0.318329 0.183072 0.534649 0.027429 0.048983 0.843207
193613.659777405 -0.054767 -0.344798 0.196907 0.535581 0.027018 0.048414 0.842662
193613.759726376 -0.053456 -0.374290 0.212479 0.535341 0.025525 0.047333 0.842922
193613.859825404 -0.053004 -0.401694 0.226852 0.535794 0.025128 0.046938 0.842668
193613.959774404 -0.052694 -0.427387 0.239393 0.534204 0.025443 0.046693 0.843681
193614.059723404 -0.051064 -0.457726 0.252307 0.528527 0.023117 0.045469 0.847382
193614.159672404 -0.050623 -0.484458 0.263714 0.521303 0.023229 0.045209 0.851857
193614.259771404 -0.049591 -0.512702 0.277082 0.513443 0.022079 0.044628 0.856678
193614.359720376 -0.049167 -0.540179 0.288843 0.505385 0.022603 0.043992 0.861475
193614.459669409 -0.048341 -0.567247 0.305578 0.505465 0.022908 0.044249 0.861407
193614.559768404 -0.048148 -0.593090 0.323164 0.505206 0.022795 0.044321 0.861558
193614.659717371 -0.049289 -0.610880 0.340716 0.517000 0.024645 0.045572 0.854416
193614.759666404 -0.050301 -0.633341 0.363624 0.538748 0.024054 0.045881 0.840873
193614.859615371 -0.051552 -0.660608 0.382442 0.549787 0.024986 0.047126 0.833600
193614.959714404 -0.051634 -0.691973 0.395867 0.547925 0.025655 0.047136 0.834804
193615.059663376 -0.051623 -0.724399 0.408841 0.543184 0.026261 0.047868 0.837836
193615.159612376 -0.050995 -0.760585 0.421227 0.533781 0.026430 0.047867 0.843853
193615.259711404 -0.050849 -0.797448 0.432730 0.519387 0.026732 0.047528 0.852798
193615.359660371 -0.049570 -0.834762 0.445494 0.505078 0.025765 0.047082 0.861403
193615.459609376 -0.048334 -0.871075 0.460166 0.490625 0.025270 0.046427 0.869766
193615.559558371 -0.046202 -0.903325 0.478215 0.485255 0.023362 0.045715 0.872864
193615.659657371 -0.047294 -0.917608 0.490586 0.491792 0.025597 0.046912 0.869071
193615.759606376 -0.046960 -0.947678 0.509498 0.490202 0.024110 0.046708 0.870023
193615.859555404 -0.046334 -0.983549 0.533064 0.490837 0.022184 0.046037 0.869752
193615.959654371 -0.046626 -1.012667 0.552039 0.490828 0.022435 0.047108 0.869692
