time, px, py, pz, qw, qx, qy, qz
24383.888791416004096, 0.128969, 0.0047569, -0.244835, 0.0400262, 0.688153, -0.724446, 0.00465432
24383.922105126002862, 0.128553, 0.00466255, -0.244971, 0.0399832, 0.688047, -0.724549, 0.00464496
24383.955421402002685, 0.128919, 0.00481991, -0.244642, 0.0400919, 0.688125, -0.724469, 0.00466027
24383.988737792002212, 0.129253, 0.00479661, -0.244296, 0.0401935, 0.688177, -0.724414, 0.00463256
24384.02220412600218, 0.129479, 0.00467407, -0.244667, 0.0400824, 0.688204, -0.724395, 0.00455391
24384.055520459001855, 0.129545, 0.0045778, -0.244539, 0.0401156, 0.688222, -0.724376, 0.00461281
24384.08883679200153, 0.129707, 0.00465727, -0.244532, 0.0401394, 0.688265, -0.724333, 0.00462593
24384.122153126001649, 0.12922, 0.00441697, -0.245301, 0.0399828, 0.688162, -0.724441, 0.00447445
24384.155469397002889, 0.129454, 0.00433402, -0.246289, 0.0397283, 0.688264, -0.724358, 0.00434277
24384.188785792004637, 0.130557, 0.00461088, -0.246014, 0.0396731, 0.688558, -0.724081, 0.00448211
24384.222102097002789, 0.129385, 0.00435577, -0.245323, 0.0398632, 0.688304, -0.724312, 0.00455378
24384.255418459004431, 0.128026, 0.00377536, -0.245161, 0.0400763, 0.687967, -0.724621, 0.00443074
24384.288734792004107, 0.127801, 0.00363972, -0.24525, 0.0400477, 0.687923, -0.724665, 0.00441845
24384.322051126004226, 0.127313, 0.00387729, -0.244387, 0.0400718, 0.687809, -0.72477, 0.00468152
24384.355367430001934, 0.1265, 0.00403736, -0.244363, 0.0400433, 0.68764, -0.724931, 0.00472073
24384.388833792003425, 0.12706, 0.00400206, -0.244238, 0.0400468, 0.687759, -0.724818, 0.00475211
24384.422150097001577, 0.127637, 0.00404271, -0.244268, 0.0401368, 0.687885, -0.724694, 0.00467379
24384.455466459003219, 0.127938, 0.00421338, -0.244114, 0.0400884, 0.687957, -0.724628, 0.00477339
24384.488782792002894, 0.127733, 0.00404325, -0.244433, 0.0400712, 0.687928, -0.724657, 0.00464964
24384.522099097004684, 0.127628, 0.00387444, -0.245804, 0.0399416, 0.687945, -0.72465, 0.00422006
24384.555415402002836, 0.128359, 0.00407653, -0.245932, 0.0397588, 0.688119, -0.724495, 0.00428412
24384.588731769003061, 0.128087, 0.00383673, -0.244791, 0.0399509, 0.688038, -0.72456, 0.00457958
24384.622048097004154, 0.127672, 0.00406667, -0.244489, 0.0398562, 0.687951, -0.724646, 0.00475613
24384.655364426002052, 0.127202, 0.00430339, -0.2453, 0.0395272, 0.687856, -0.724755, 0.00472917
24384.688680759001727, 0.12676, 0.00392704, -0.245004, 0.0397101, 0.68778, -0.724817, 0.00463761
24384.722147092004889, 0.126398, 0.00367081, -0.245746, 0.0397055, 0.687741, -0.724857, 0.00433757
24384.75546342600137, 0.126832, 0.00384003, -0.245966, 0.0394724, 0.687847, -0.724769, 0.00440917
24384.788779764003266, 0.126942, 0.00382891, -0.246093, 0.0393631, 0.687882, -0.724741, 0.0044359
24384.822096092004358, 0.127067, 0.00360291, -0.246066, 0.0393736, 0.687924, -0.724701, 0.00441817
24384.855412459004583, 0.126987, 0.00355848, -0.246043, 0.039315, 0.687925, -0.724703, 0.00446568
24384.888728792004258, 0.126926, 0.00356214, -0.246249, 0.0391963, 0.68793, -0.724704, 0.00446071
24384.922045126004377, 0.126946, 0.00347342, -0.246088, 0.0391509, 0.687946, -0.72469, 0.00455131
24384.955362402004539, 0.126864, 0.00343092, -0.246238, 0.0390434, 0.687948, -0.724694, 0.00456099
24384.988677792003728, 0.126758, 0.00343735, -0.247098, 0.0387831, 0.68796, -0.724698, 0.00439571
24385.021994121001626, 0.126688, 0.00340071, -0.247822, 0.0385674, 0.687975, -0.724697, 0.00426108
24385.055310397001449, 0.126079, 0.00309471, -0.248643, 0.0385024, 0.687886, -0.724786, 0.0039681
24385.08877675900294, 0.125203, 0.00263696, -0.25074, 0.0384664, 0.687787, -0.724885, 0.0032071
24385.122093126003165, 0.125305, 0.0023305, -0.253792, 0.0380144, 0.687953, -0.724755, 0.00239418
24385.155409464001423, 0.131062, 0.00473546, -0.258167, 0.0357084, 0.689314, -0.723579, 0.00216326
24385.188725759002409, 0.136144, 0.00660909, -0.264863, 0.0328693, 0.690476, -0.722606, 0.00170481
24385.222042097004305, 0.140182, 0.00768801, -0.271314, 0.0304803, 0.6914, -0.721828, 0.00113344
24385.25535843000398, 0.139484, 0.00813138, -0.277733, 0.0287129, 0.691344, -0.721955, 8.79815e-05
24385.288674764004099, 0.136201, 0.00778847, -0.282161, 0.0278733, 0.690722, -0.722583, -0.000997548
24385.321991092001554, 0.137623, 0.00780269, -0.286464, 0.0265079, 0.691113, -0.722259, -0.00166519
